,counter,binary,tfidf
30000,0.506543051057978,0.5214035399015216,0.506010735039702
25000,0.5064986913897884,0.5197178725103136,0.49088408818702034
20000,0.5038814709665972,0.5267267000842834,0.5164796167324669
15000,0.505434059353236,0.5180322051191057,0.5183870824646232
10000,0.49802599476555914,0.5209599432196247,0.5174555294326398
5000,0.49882446879297343,0.5225568912744533,0.5040589096393558
1000,0.4524686155347558,0.4730515015747682,0.44847624539768444
750,0.43321651954043383,0.45335580889854943,0.4308654571263807
500,0.4235017522068935,0.43654349465465997,0.41791243401499356
250,0.4050481302399858,0.41835603069689037,0.3911191944284257
100,0.33047952801313046,0.3590915139954753,0.33278623075899394
50,0.3264427982078694,0.32826154460364637,0.3145544071330346
