,cross-entropy,hinge-embedding,bce-logit,soft-margin
1,0.47778981581798485,0.4772481040086674,0.5227518959913326,0.5113759479956663
6,0.5557963163596966,0.4772481040086674,0.52329360780065,0.5162513542795233
8,0.5287107258938245,0.4772481040086674,0.5254604550379198,0.5140845070422535
10,0.5297941495124594,0.4772481040086674,0.5249187432286024,0.5189599133261105
12,0.5449620801733478,0.4772481040086674,0.5227518959913326,0.5108342361863488
14,0.5303358613217768,0.4772481040086674,0.5292524377031419,0.5140845070422535
16,0.5422535211267606,0.4772481040086674,0.5205850487540629,0.5119176598049837
18,0.5671722643553629,0.4772481040086674,0.4815817984832069,0.5135427952329361
20,0.542795232936078,0.4772481040086674,0.5243770314192849,0.5173347778981582
22,0.5043336944745396,0.4772481040086674,0.5270855904658721,0.5135427952329361
40,0.6143011917659805,0.4772481040086674,0.4772481040086674,0.4891657638136511
82,0.5124593716143012,0.4772481040086674,0.4783315276273023,0.5140845070422535
0,0.47778981581798485,0.4772481040086674,0.4978331527627302,0.5081256771397616
3,0.4783315276273023,0.4772481040086674,0.4945828819068256,0.5108342361863488
4,0.547670639219935,0.4772481040086674,0.5270855904658721,0.5173347778981582
5,0.4772481040086674,0.4772481040086674,0.4826652221018418,0.519501625135428
7,0.4783315276273023,0.4772481040086674,0.4783315276273023,0.5130010834236186
9,0.4788732394366197,0.4772481040086674,0.5032502708559047,0.5124593716143012
11,0.4783315276273023,0.4772481040086674,0.4826652221018418,0.5102925243770314
13,0.47670639219934996,0.4772481040086674,0.4783315276273023,0.5092091007583965
15,0.47778981581798485,0.4772481040086674,0.47778981581798485,0.5151679306608884
17,0.5010834236186349,0.4772481040086674,0.4799566630552546,0.5162513542795233
19,0.5027085590465872,0.4772481040086674,0.5075839653304443,0.5173347778981582
21,0.47778981581798485,0.4772481040086674,0.4826652221018418,0.5151679306608884
23,0.4783315276273023,0.4772481040086674,0.49187432286023836,0.5157096424702059
24,0.4875406283856988,0.4772481040086674,0.4989165763813651,0.514626218851571
25,0.4772481040086674,0.4772481040086674,0.5102925243770314,0.5059588299024919
26,0.4772481040086674,0.4772481040086674,0.5097508125677139,0.5211267605633803
27,0.5027085590465872,0.4772481040086674,0.5081256771397616,0.5157096424702059
28,0.4783315276273023,0.4772481040086674,0.4989165763813651,0.5178764897074756
29,0.4788732394366197,0.4772481040086674,0.5037919826652221,0.5092091007583965
75,0.47670639219934996,0.4772481040086674,0.49079089924160346,0.5108342361863488
200,0.5238353196099675,0.4772481040086674,0.5211267605633803,0.5097508125677139
