,rnn,lstm,gru
1,0.5,0.5,0.5071321449365711
6,0.7214064328689137,0.7332658954438256,0.7507483841371969
8,0.75138237871472,0.7006328183352644,0.7599207212717531
10,0.6986484976445748,0.7763275364194009,0.782299318367611
12,0.7346515088247576,0.7733704633806379,0.7836343533314121
14,0.5503478736480565,0.7369434168661377,0.772501808472473
16,0.6174472014256056,0.7687543006357589,0.7940946757394153
18,0.7390230131797946,0.7482918021795769,0.7780601412666952
20,0.7227838125540336,0.7298436185916851,0.7775143648585863
22,0.6445090070750972,0.5327795192697888,0.7964877406150571
40,0.49835267271647266,0.7259902489516741,0.7539271788417542
82,0.6841924802832391,0.6966941711314862,0.7920197843947939
0,0.5295707303876307,0.6526656590191315,0.5983379696882369
3,0.5226408991195827,0.690683573188734,0.6733022413296242
4,0.5534843236312952,0.7083242664659213,0.7091329330188846
5,0.5,0.5,0.5042691712785166
7,0.5,0.5,0.5
9,0.5,0.5,0.5042691712785166
11,0.5,0.5,0.5042691712785166
13,0.5,0.5,0.5
15,0.5,0.5,0.5042691712785166
17,0.5,0.5,0.5042691712785166
19,0.5,0.5,0.5
21,0.5,0.5,0.5042691712785166
23,0.5,0.5,0.5042691712785166
24,0.5,0.5,0.5042691712785166
25,0.5,0.5,0.5
26,0.5,0.5,0.5042691712785166
27,0.5,0.5,0.5
28,0.5,0.5,0.5042691712785166
29,0.5330724035922438,0.7113078049555086,0.7216440338052025
75,0.5,0.5,0.5042691712785166
200,0.6412196455982073,0.5,0.7384278345968136
