Some weights of the model checkpoint at Oblig3/saga/216/ were not used when initializing BertForTokenClassification: ['cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.predictions.decoder.bias', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias']
- This IS expected if you are initializing BertForTokenClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForTokenClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForTokenClassification were not initialized from the model checkpoint at Oblig3/saga/216/ and are newly initialized: ['classifier.weight', 'classifier.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/Users/macaira1466/.pyenv/versions/3.8.6/lib/python3.8/site-packages/torch/nn/modules/rnn.py:58: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.1 and num_layers=1
  warnings.warn("dropout option adds dropout after all but last "
  0%|          | 0/100 [00:00<?, ?it/s]Batch: 0  |  Train Loss: 2.981337785720825  |  Valid Loss: 2.944328546524048  |  F1 Valid: 0.04815165723588475
Batch: 1  |  Train Loss: 2.9544923305511475  |  Valid Loss: 2.877307653427124  |  F1 Valid: 0.10522911300261074
Batch: 2  |  Train Loss: 2.836447238922119  |  Valid Loss: 2.786893129348755  |  F1 Valid: 0.14169815721143145
Batch: 3  |  Train Loss: 2.7358076572418213  |  Valid Loss: 2.6904587745666504  |  F1 Valid: 0.14770579754871282
Batch: 4  |  Train Loss: 2.5779709815979004  |  Valid Loss: 2.6029248237609863  |  F1 Valid: 0.14746774624432568
Batch: 5  |  Train Loss: 2.4768078327178955  |  Valid Loss: 2.5350899696350098  |  F1 Valid: 0.14746774624432568
Batch: 6  |  Train Loss: 2.4228594303131104  |  Valid Loss: 2.488342523574829  |  F1 Valid: 0.14746774624432568
Batch: 7  |  Train Loss: 2.4475345611572266  |  Valid Loss: 2.4566681385040283  |  F1 Valid: 0.14746774624432568
Batch: 8  |  Train Loss: 2.2671866416931152  |  Valid Loss: 2.4324169158935547  |  F1 Valid: 0.14746774624432568
Batch: 9  |  Train Loss: 2.205331563949585  |  Valid Loss: 2.4109928607940674  |  F1 Valid: 0.14746774624432568
Batch: 10  |  Train Loss: 2.1825194358825684  |  Valid Loss: 2.392144203186035  |  F1 Valid: 0.14746774624432568
Batch: 11  |  Train Loss: 2.18664813041687  |  Valid Loss: 2.3751256465911865  |  F1 Valid: 0.14746774624432568
Batch: 12  |  Train Loss: 2.217165946960449  |  Valid Loss: 2.3600447177886963  |  F1 Valid: 0.14746774624432568
Batch: 13  |  Train Loss: 2.088996648788452  |  Valid Loss: 2.3466811180114746  |  F1 Valid: 0.14746908888664575
Batch: 14  |  Train Loss: 2.3210384845733643  |  Valid Loss: 2.336475133895874  |  F1 Valid: 0.14800662573049328
Batch: 15  |  Train Loss: 2.2064428329467773  |  Valid Loss: 2.3284990787506104  |  F1 Valid: 0.15165667302042915
Batch: 16  |  Train Loss: 2.206155300140381  |  Valid Loss: 2.323031425476074  |  F1 Valid: 0.15896467104133605
