% sample space = 781
% train space = 585
% test space = 195

fdelta@fdelta:~/Documents/IN5550/Oblig3$ python3 test.py
Some weights of the model checkpoint at saga/216/ were not used when initializing BertForTokenClassification: ['cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.predictions.decoder.bias', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias']
- This IS expected if you are initializing BertForTokenClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForTokenClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForTokenClassification were not initialized from the model checkpoint at saga/216/ and are newly initialized: ['classifier.weight', 'classifier.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
  0%|                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]Batch: 0  |  Train Loss: 2.9791300296783447  |  Valid Loss: 2.630195379257202  |  F1 Valid: 0.2849234324163602
Batch: 1  |  Train Loss: 2.6117100715637207  |  Valid Loss: 1.990278959274292  |  F1 Valid: 0.5582051424053438
Batch: 2  |  Train Loss: 2.032024621963501  |  Valid Loss: 1.395390272140503  |  F1 Valid: 0.6982884795953809
Batch: 3  |  Train Loss: 1.4675718545913696  |  Valid Loss: 1.1228502988815308  |  F1 Valid: 0.632104404849781
Batch: 4  |  Train Loss: 1.2170073986053467  |  Valid Loss: 1.0619860887527466  |  F1 Valid: 0.6661173374455929
Batch: 5  |  Train Loss: 1.4607324600219727  |  Valid Loss: 1.0303771495819092  |  F1 Valid: 0.7789336584365841
Batch: 6  |  Train Loss: 1.1275027990341187  |  Valid Loss: 0.9918438792228699  |  F1 Valid: 0.7267814073921935
Batch: 7  |  Train Loss: 1.0165820121765137  |  Valid Loss: 0.8529440760612488  |  F1 Valid: 0.792712386410758
Batch: 8  |  Train Loss: 1.1493828296661377  |  Valid Loss: 0.805980384349823  |  F1 Valid: 0.797524257872564
Batch: 9  |  Train Loss: 1.1269489526748657  |  Valid Loss: 0.7514725923538208  |  F1 Valid: 0.7972848540557094
Batch: 10  |  Train Loss: 0.993257462978363  |  Valid Loss: 0.6980559229850769  |  F1 Valid: 0.8017401059188346
Batch: 11  |  Train Loss: 1.019301176071167  |  Valid Loss: 0.6743871569633484  |  F1 Valid: 0.7952959284446398
Batch: 12  |  Train Loss: 0.8470963835716248  |  Valid Loss: 0.6426535844802856  |  F1 Valid: 0.7989500684065187
Batch: 13  |  Train Loss: 0.8729535341262817  |  Valid Loss: 0.6101399064064026  |  F1 Valid: 0.8075782060114474
Batch: 14  |  Train Loss: 0.576293408870697  |  Valid Loss: 0.5820410847663879  |  F1 Valid: 0.8188371881617555
Batch: 15  |  Train Loss: 0.8197548389434814  |  Valid Loss: 0.562770664691925  |  F1 Valid: 0.8307962433581451
Batch: 16  |  Train Loss: 0.7174928188323975  |  Valid Loss: 0.5340056419372559  |  F1 Valid: 0.8364844724634803
Batch: 17  |  Train Loss: 0.7050775289535522  |  Valid Loss: 0.5138956904411316  |  F1 Valid: 0.8383915543385622
Batch: 18  |  Train Loss: 0.6446393728256226  |  Valid Loss: 0.5021016597747803  |  F1 Valid: 0.83893661005221
Epoch: 0  |  Train Loss: 1.2307610292183726  |  Valid Loss: 0.9449142311748705  |  F1 Valid: 0.7420992493703085
  1%|█▌                                                                                                                                                        | 1/100 [04:39<7:41:51, 279.92s/it]Batch: 0  |  Train Loss: 0.653427004814148  |  Valid Loss: 0.4968372881412506  |  F1 Valid: 0.8390750796926378
Batch: 1  |  Train Loss: 0.6592774391174316  |  Valid Loss: 0.48997148871421814  |  F1 Valid: 0.8389484622383789
Batch: 2  |  Train Loss: 0.6408156156539917  |  Valid Loss: 0.4819323718547821  |  F1 Valid: 0.8387462599509281
Batch: 3  |  Train Loss: 0.5902504324913025  |  Valid Loss: 0.47380125522613525  |  F1 Valid: 0.838931316758556
Batch: 4  |  Train Loss: 0.5608857870101929  |  Valid Loss: 0.4695727229118347  |  F1 Valid: 0.8394108565876461
Batch: 5  |  Train Loss: 0.7821189165115356  |  Valid Loss: 0.4699748456478119  |  F1 Valid: 0.8408591778263176
Batch: 6  |  Train Loss: 0.5071626901626587  |  Valid Loss: 0.46486735343933105  |  F1 Valid: 0.8438748410797602
Batch: 7  |  Train Loss: 0.4903332591056824  |  Valid Loss: 0.456980437040329  |  F1 Valid: 0.8437405724829693
Batch: 8  |  Train Loss: 0.6332579851150513  |  Valid Loss: 0.4539166986942291  |  F1 Valid: 0.8425979404094651
Batch: 9  |  Train Loss: 0.6601221561431885  |  Valid Loss: 0.4543551504611969  |  F1 Valid: 0.8419268222605719
Batch: 10  |  Train Loss: 0.5840245485305786  |  Valid Loss: 0.45089831948280334  |  F1 Valid: 0.8445152275863778
Batch: 11  |  Train Loss: 0.7097063660621643  |  Valid Loss: 0.4435475468635559  |  F1 Valid: 0.8508997228505052
Batch: 12  |  Train Loss: 0.5345478653907776  |  Valid Loss: 0.44454577565193176  |  F1 Valid: 0.8580782071354774
Batch: 13  |  Train Loss: 0.618594229221344  |  Valid Loss: 0.44411805272102356  |  F1 Valid: 0.8594903915292051
Batch: 14  |  Train Loss: 0.39495357871055603  |  Valid Loss: 0.44109800457954407  |  F1 Valid: 0.8594257865743439
Batch: 15  |  Train Loss: 0.6393553018569946  |  Valid Loss: 0.4347468912601471  |  F1 Valid: 0.8540656893532309
Batch: 16  |  Train Loss: 0.5465012788772583  |  Valid Loss: 0.4333610236644745  |  F1 Valid: 0.8509362529003893
Batch: 17  |  Train Loss: 0.5548291206359863  |  Valid Loss: 0.43245378136634827  |  F1 Valid: 0.8496032387319767
Batch: 18  |  Train Loss: 0.539277970790863  |  Valid Loss: 0.42989444732666016  |  F1 Valid: 0.8510751127686451
Epoch: 1  |  Train Loss: 0.5947074498000898  |  Valid Loss: 0.4561512344761899  |  F1 Valid: 0.8466421557219674
  2%|███                                                                                                                                                       | 2/100 [09:20<7:38:04, 280.45s/it]Batch: 0  |  Train Loss: 0.5814292430877686  |  Valid Loss: 0.4281042516231537  |  F1 Valid: 0.8522942941212974
Batch: 1  |  Train Loss: 0.564170241355896  |  Valid Loss: 0.430380254983902  |  F1 Valid: 0.854540418144552
Batch: 2  |  Train Loss: 0.5685459971427917  |  Valid Loss: 0.4288274645805359  |  F1 Valid: 0.8524302311300489
Batch: 3  |  Train Loss: 0.512500524520874  |  Valid Loss: 0.42410215735435486  |  F1 Valid: 0.8510983582129776
